ld,paper,chamber,title,committee,status,became_law,chapter,primary_sponsor,cosponsors,subjects,num_sponsors,num_actions,num_roll_calls,num_amendments,latest_action_date,latest_action,ps_url,lawmaker_url
1296,SP0526,Senate,An Act to Amend the Law Governing Watercraft Franchisor Warranty Reimbursements,Housing and Economic Development,Enacted (ch. 284),True,284,Sen. Cameron RENY (Lincoln),Sen. Glenn CURRY (Waldo); Rep. Allison HEPLER (Woolwich); Sen. Henry INGWERSEN (York); Sen. Marianne MOORE (Washington); Rep. Wayne PARRY (Arundel); Rep. Tiffany STROUT (Harrington); Sen. Jeffrey TIMBERLAKE (Androscoggin); Sen. Michael TIPPING (Penobscot); Rep. Peter WOOD (Norway),BUSINESS PRACTICES,10,6,0,1,2025-06-09,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0526,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0526&SessionID=16
1297,SP0527,Senate,"Resolve, to Establish the Committee to Study the Use of Sunflower Crops to Produce Biofuels and Other Products","Agriculture, Conservation and Forestry","Died On Adjournment, Apr 29, 2026",False,,Sen. Harold STEWART (Aroostook),Rep. Roger ALBERT (Madawaska); Rep. Donald ARDELL (Monticello); Rep. Mark BABIN (Fort Fairfield); Sen. Susan BERNARD (Aroostook); Rep. Lucien DAIGLE (Fort Kent); Rep. Timothy GUERRETTE (Caribou); Rep. Tracy QUINT (Hodgdon); Rep. Gregory SWALLOW (Houlton); Rep. Joseph UNDERWOOD (Presque Isle),ALTERNATIVE ENERGY,10,9,0,1,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0527,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0527&SessionID=16
1298,SP0528,Senate,An Act Establishing Alternative Pathways to Social Worker Licensing,"Health Coverage, Insurance and Financial Services","Died Between Houses, Jun 18, 2025",False,,Sen. Rachel TALBOT ROSS (Cumberland),Rep. Poppy ARFORD (Brunswick); Sen. Donna BAILEY (York); Sen. Joseph BALDACCI (Penobscot); Sen. Richard BENNETT (Oxford); Rep. Lydia CRAFTS (Newcastle); Rep. Deqa DHALAC (South Portland); Sen. Marianne MOORE (Washington); Rep. Joshua MORRIS (Turner); Rep. Holly STOVER (Boothbay),HEALTH CARE PERSONNEL,10,9,2,2,2025-06-18,RELEASED . Sent down for concurrence,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0528,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0528&SessionID=16
1299,SP0529,Senate,An Act to Prohibit the Unsecured Storage of Handguns in Motor Vehicles,Judiciary,"Accepted Minority (ONTP) Report, Jun 16, 2025",False,,Sen. Rachel TALBOT ROSS (Cumberland),Rep. Mana ABDI (Lewiston); Sen. Anne CARNEY (Cumberland); Rep. Kristen CLOUTIER (Lewiston); President Matthea DAUGHTRY (Cumberland); Rep. Victoria DOUDERA (Camden); Speaker Ryan FECTEAU (Biddeford); Rep. Amy KUHN (Falmouth); Rep. Adam LEE (Auburn); Sen. Margaret ROTUNDO (Androscoggin),FIREARMS,10,4,3,1,2025-06-16,"Reports READ . Motion of Representative KUHN of Falmouth to ACCEPT the Majority Ought to Pass as Amended Report FAILED . ROLL CALL NO. 516 (Yeas 64 - Nays 79 - Absent 6 - Excused 2) On motion of Representative KUHN of Falmouth, the Minority Ought Not to Pass Report was ACCEPTED . In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0529,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0529&SessionID=16
1300,SP0530,Senate,An Act to Strengthen Maine's Implied Warranty Laws,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, Apr 23, 2025",False,,Sen. Michael TIPPING (Penobscot),Sen. Joseph BALDACCI (Penobscot); Rep. Matthew BECK (South Portland); Sen. Bruce BICKFORD (Androscoggin); Rep. David BOYER (Poland); Rep. Deqa DHALAC (South Portland); Sen. Mark LAWRENCE (York); Rep. Rafael MACIAS (Topsham); Sen. Cameron RENY (Lincoln); Rep. Amy ROEDER (Bangor),BUSINESS PRACTICES,10,3,0,0,2025-04-23,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0530,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0530&SessionID=16
1301,SP0531,Senate,An Act to Prohibit the Use of Artificial Intelligence in the Denial of Health Insurance Claims,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, Jan 27, 2026",False,,Sen. Michael TIPPING (Penobscot),Rep. Poppy ARFORD (Brunswick); Sen. Donna BAILEY (York); Rep. Sally CLUCHEY (Bowdoinham); President Matthea DAUGHTRY (Cumberland); Rep. Janice DODGE (Belfast); Rep. Lori GRAMLICH (Old Orchard Beach); Sen. Joseph MARTIN (Oxford); Sen. Cameron RENY (Lincoln); Rep. Samuel ZAGER (Portland),INSURANCE,10,4,0,0,2026-01-27,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0531,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0531&SessionID=16
1302,SP0532,Senate,An Act Regarding the Number of Voters of a Municipality Required to Petition for Consideration of Deorganization of That Municipality,State and Local Government,Enacted (ch. 212),True,212,Sen. Joseph BALDACCI (Penobscot),,MUNICIPALITIES,1,6,0,0,2025-06-02,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0532,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0532&SessionID=16
1303,SP0533,Senate,An Act to Amend the Laws Governing Qualifications for the State Auditor,State and Local Government,Enacted (ch. 287),True,287,Sen. Joseph BALDACCI (Penobscot),,STATE OFFICERS,1,6,0,1,2025-06-10,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0533,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0533&SessionID=16
1304,SP0534,Senate,"RESOLUTION, Proposing an Amendment to the Constitution of Maine to Limit Property Tax Increases for Individuals 65 Years of Age or Older and Shift the Tax Burden to State Gaming Revenues",Taxation,"Ought Not to Pass Pursuant To Joint Rule 310, May 21, 2025",False,,Sen. Joseph BALDACCI (Penobscot),Sen. Timothy NANGLE (Cumberland); Rep. Dani O'HALLORAN (Brewer); Rep. Amy ROEDER (Bangor); Rep. Laura SUPICA (Bangor),PROPERTY TAX,5,3,0,0,2025-05-21,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0534,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0534&SessionID=16
1305,SP0535,Senate,An Act to Improve Access to Transportation to Work for Forestry Workers and Migrant and Seasonal Farm Workers,Transportation,"Ought Not to Pass Pursuant To Joint Rule 310, May 20, 2025",False,,Sen. Harold STEWART (Aroostook),,MOTOR VEHICLES,1,3,0,0,2025-05-20,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0535,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0535&SessionID=16
1306,SP0536,Senate,An Act to Continue the Exemption for Polystyrene Foam Disposable Food Service Containers Prepackaged at Wholesale,Environment and Natural Resources,Enacted (ch. 151),True,151,Sen. Richard BRADSTREET (Kennebec),Rep. Amy ARATA (New Gloucester); Sen. Bruce BICKFORD (Androscoggin); Sen. Scott CYRWAY (Kennebec); Rep. Paul FLYNN (Albion); Rep. Steven FOSTER (Dexter); Rep. Timothy GUERRETTE (Caribou); Sen. Joseph MARTIN (Oxford); Sen. Harold STEWART (Aroostook),WASTES,9,6,0,1,2025-05-27,"This being an emergency measure, a two-thirds vote of all the members elected to the House was necessary. PASSED TO BE ENACTED . Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0536,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0536&SessionID=16
1307,SP0537,Senate,An Act to Suspend the Remittance Obligation for Paid Family and Medical Leave Private Plan Users,Labor,"Accepted Majority (ONTP) Report, Jun 3, 2025",False,,Sen. Richard BRADSTREET (Kennebec),Sen. Bruce BICKFORD (Androscoggin); Sen. Scott CYRWAY (Kennebec); Rep. Paul FLYNN (Albion); Rep. Steven FOSTER (Dexter); Rep. Timothy GUERRETTE (Caribou); Sen. Joseph MARTIN (Oxford); Sen. Harold STEWART (Aroostook),COMPENSATION,8,4,2,1,2025-06-03,"Reports READ . On motion of Representative ROEDER of Bangor, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 295 (Yeas 75 - Nays 73 - Absent 3 - Excused 0) In concurrence. ORDERED SENT FORTHWITH. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0537,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0537&SessionID=16
1308,SP0538,Senate,"Resolve, Directing the Department of Inland Fisheries and Wildlife and the Department of Agriculture, Conservation and Forestry to Examine Issues Related to Public Access to Privately Owned Lands",Inland Fisheries and Wildlife,Enacted (ch. 82),True,82,Sen. Joseph BALDACCI (Penobscot),Rep. William BRIDGEO (Augusta); Rep. James DILL (Old Town),RECREATION,3,6,0,1,2025-06-11,"FINALLY PASSED - Emergency - 2/3 Elected Required, in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0538,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0538&SessionID=16
1309,SP0539,Senate,An Act to Increase the Membership of the Public Utilities Commission to 5 Members,"Energy, Utilities and Technology","Ought Not to Pass Pursuant To Joint Rule 310, Apr 22, 2025",False,,Sen. Joseph BALDACCI (Penobscot),Rep. William BRIDGEO (Augusta); Rep. Valli GEIGER (Rockland); Sen. Mark LAWRENCE (York); Rep. Dani O'HALLORAN (Brewer); Rep. Walter RUNTE (York),PUBLIC UTILITIES COMMISSION,6,3,0,0,2025-04-22,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0539,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0539&SessionID=16
1310,SP0540,Senate,An Act to Amend the Laws Governing Insurance Coverage of Preventive and Primary Health Services,"Health Coverage, Insurance and Financial Services",Enacted (ch. 213),True,213,Sen. Joseph BALDACCI (Penobscot),Sen. David HAGGAN (Penobscot); Rep. Joshua MORRIS (Turner),INSURANCE,3,6,0,1,2025-06-02,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0540,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0540&SessionID=16
1311,SP0541,Senate,An Act to Expand Maine's Health Care Workforce by Improving Educational Opportunities,Health and Human Services,"Died On Adjournment, Apr 29, 2026",False,,Sen. Henry INGWERSEN (York),Sen. Richard BENNETT (Oxford); Rep. John DUCHARME (Madison); Rep. Kathy JAVNER (Chester); Sen. Marianne MOORE (Washington); Sen. Timothy NANGLE (Cumberland); Sen. Rachel TALBOT ROSS (Cumberland); Rep. Samuel ZAGER (Portland),HEALTH CARE PERSONNEL,8,8,0,1,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0541,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0541&SessionID=16
1312,SP0542,Senate,An Act to Provide a Source of Revenue for School Construction and for the Land for Maine's Future Trust Fund,Appropriations and Financial Affairs,"Died On Adjournment, Apr 29, 2026",False,,Sen. Teresa PIERCE (Cumberland),,PUBLIC LANDS,1,6,0,0,2026-04-29,Died in Possession of the Committee Upon Conclusion of the 132nd Legislature and PLACED IN THE LEGISLATIVE FILES ( DEAD ).,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0542,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0542&SessionID=16
1313,SP0543,Senate,An Act to Promote Equity in the Forest Products Industry by Allowing Commercial Wood Haulers to Be Eligible for Certain Sales Tax Exemptions and Refunds,Taxation,"Died On Adjournment, Apr 29, 2026",False,,Sen. Bradlee FARRIN (Somerset),Sen. Susan BERNARD (Aroostook); Sen. Bruce BICKFORD (Androscoggin); President Matthea DAUGHTRY (Cumberland); Speaker Ryan FECTEAU (Biddeford); Sen. James LIBBY (Cumberland); Rep. Tracy QUINT (Hodgdon); Rep. Shelley RUDNICKI (Fairfield); Rep. Gregory SWALLOW (Houlton); Sen. Michael TIPPING (Penobscot),SALES AND USE TAX,10,8,0,1,2026-04-29,Died in Possession of the Senate when the Legislature adjourned Sine Die and was PLACED IN THE LEGISLATIVE FILES . (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0543,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0543&SessionID=16
1314,SP0544,Senate,An Act to Protect Cannabis Industry Workers' Access to Personal Credit,"Health Coverage, Insurance and Financial Services","Ought Not to Pass Pursuant To Joint Rule 310, May 28, 2025",False,,Sen. Nicole GROHOSKI (Hancock),Rep. David BOYER (Poland); Sen. Stacy BRENNER (Cumberland); Rep. Sally CLUCHEY (Bowdoinham); Rep. Holly EATON (Deer Isle); Sen. Craig HICKMAN (Kennebec); Rep. Anne-Marie MASTRACCIO (Sanford); Rep. Joshua MORRIS (Turner); Sen. Cameron RENY (Lincoln); Sen. Jeffrey TIMBERLAKE (Androscoggin),FINANCIAL PRACTICES,10,3,0,0,2025-05-28,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0544,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0544&SessionID=16
1315,SP0545,Senate,An Act to Authorize the Display of an Inherent Resolve Campaign Medal Decal on a Special Veterans License Plate and Authorize Certain Other Service Members to Receive Special Commemorative Decals,Transportation,Enacted (ch. 382),True,382,Sen. Marianne MOORE (Washington),Sen. Bradlee FARRIN (Somerset),MOTOR VEHICLES,2,7,0,1,2025-06-18,"On motion by Senator NANGLE of Cumberland, TAKEN FROM THE SPECIAL HIGHWAY TABLE . Subsequently, PASSED TO BE ENACTED in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0545,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0545&SessionID=16
1316,SP0546,Senate,"An Act to Amend the Mandated Reporter Laws Regarding Medical Records, Additional Information and Immunity",Health and Human Services,"Ought Not to Pass Pursuant To Joint Rule 310, May 20, 2025",False,,Sen. Marianne MOORE (Washington),Sen. Donna BAILEY (York); Rep. Billy Bob FAULKINGHAM (Winter Harbor),CHILDREN AND FAMILIES,3,3,0,0,2025-05-20,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0546,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0546&SessionID=16
1317,SP0547,Senate,"An Act to Promote Responsible, Cost-effective Energy in Maine by Amending the Tariff Rates Applicable to the Commercial and Institutional Net Energy Billing Program","Energy, Utilities and Technology","Ought Not to Pass Pursuant To Joint Rule 310, May 20, 2025",False,,Sen. Richard BENNETT (Oxford),Sen. Bruce BICKFORD (Androscoggin); Sen. Matthew HARRINGTON (York); Rep. Nathan WADSWORTH (Hiram),ALTERNATIVE ENERGY,4,3,0,0,2025-05-20,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0547,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0547&SessionID=16
1318,SP0548,Senate,An Act to Enhance Data Collection Requirements Related to Immigration Status and Asylum Seekers to Safeguard Services for Legal Residents,Judiciary,"Accepted Majority (ONTP) Report, Jun 16, 2025",False,,Sen. Susan BERNARD (Aroostook),Rep. Amy ARATA (New Gloucester); Rep. John DUCHARME (Madison); Sen. Matthew HARRINGTON (York); Sen. Harold STEWART (Aroostook),LEGAL SERVICES,5,4,2,1,2025-06-16,Reports Read On motion by Senator CARNEY of Cumberland the Majority Ought Not to Pass Report ACCEPTED PREVAILED Roll Call Ordered Roll Call Number 559 Yeas 21 - Nays 13 - Excused 1 - Absent 0 Sent down for concurrence,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0548,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0548&SessionID=16
1319,SP0549,Senate,An Act to Amend the Law Regarding the Suspension of Licenses Issued by the Department of Marine Resources for Failure to Comply with Reporting Requirements,Marine Resources,Enacted (ch. 246),True,246,Sen. Cameron RENY (Lincoln),,MARINE RESOURCES DEPT,1,6,0,1,2025-06-03,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0549,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0549&SessionID=16
1320,SP0550,Senate,An Act to Prevent Illicit Cultivation and Trafficking Within Maine's Regulated Cannabis Industry,Veterans and Legal Affairs,"Ought Not to Pass Pursuant To Joint Rule 310, May 14, 2025",False,,Sen. Jeffrey TIMBERLAKE (Androscoggin),Sen. Russell BLACK (Franklin); Rep. David BOYER (Poland); Rep. Joshua MORRIS (Turner); Rep. Chad PERKINS (Dover-Foxcroft),CANNABIS,5,3,0,0,2025-05-14,Pursuant to Joint Rule 310.3 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=SP0550,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=SP0550&SessionID=16
1321,HP0856,House,An Act to Reform Net Energy Billing by Establishing Limitations on the Programs' Duration and Compensation,"Energy, Utilities and Technology","Accepted Majority (ONTP) Report, Jun 13, 2025",False,,Rep. Steven FOSTER (Dexter),Sen. Richard BRADSTREET (Kennebec); Rep. Billy Bob FAULKINGHAM (Winter Harbor); Sen. Matthew HARRINGTON (York); Rep. Mathew MCINTYRE (Lowell); Rep. Reagan PAUL (Winterport); Sen. Harold STEWART (Aroostook); Rep. Nathan WADSWORTH (Hiram),ELECTRIC UTILITIES,8,4,2,1,2025-06-13,"Reports READ . On motion of Representative SACHS of Freeport, the Majority Ought Not to Pass Report was ACCEPTED . ROLL CALL NO. 467 (Yeas 75 - Nays 70 - Absent 4 - Excused 2) Sent for concurrence. ORDERED SENT FORTHWITH.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0856,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0856&SessionID=16
1322,HP0857,House,"Resolve, to Establish a Pilot Program to Enhance Youth Hunting Participation",Inland Fisheries and Wildlife,Enacted (ch. 44),True,44,Rep. Tiffany ROBERTS (South Berwick),Rep. William BRIDGEO (Augusta); Rep. Sally CLUCHEY (Bowdoinham); Rep. Amanda COLLAMORE (Pittsfield); Rep. James DILL (Old Town); Sen. Stacey GUERIN (Penobscot); Rep. Cassie JULIA (Waterville); Rep. Richard MASON (Lisbon); Rep. Anne-Marie MASTRACCIO (Sanford),HUNTING,9,6,0,1,2025-05-27,FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0857,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0857&SessionID=16
1323,HP0858,House,"Resolve, Directing the Board of Pesticides Control to Evaluate the Impact of Neonicotinoids on Pollinators, Humans and the Environment","Agriculture, Conservation and Forestry",Enacted (ch. 69),True,69,Rep. Victoria DOUDERA (Camden),Rep. Sally CLUCHEY (Bowdoinham); Rep. Sharon FROST (Belgrade); Rep. Lori GRAMLICH (Old Orchard Beach); Rep. Allison HEPLER (Woolwich); Sen. Henry INGWERSEN (York); Rep. William PLUECKER (Warren); Rep. David SINCLAIR (Bath); Sen. Rachel TALBOT ROSS (Cumberland); Sen. Denise TEPLER (Sagadahoc),PESTICIDES,10,11,0,2,2025-06-09,FINALLY PASSED . Sent for concurrence. ORDERED SENT FORTHWITH.,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0858,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0858&SessionID=16
1324,HP0859,House,An Act to Protect Maine Consumers Shopping for Electric Vehicles from Deceptive Advertising and Marketing Practices,Housing and Economic Development,"Accepted Majority (ONTP) Report, Jun 3, 2025",False,,Rep. Matthew BECK (South Portland),Rep. Daniel ANKELES (Brunswick); Sen. Richard BENNETT (Oxford); Sen. Anne CARNEY (Cumberland); Rep. Sean FAIRCLOTH (Bangor); Rep. Gary FRIEDMANN (Bar Harbor); Rep. Amy KUHN (Falmouth); Rep. Adam LEE (Auburn); Rep. Dylan PUGH (Portland); Rep. Eleanor SATO (Gorham),BUSINESS PRACTICES,10,4,0,0,2025-06-03,Reports Read On motion by Senator CURRY of Waldo the Majority Ought Not to Pass Report ACCEPTED in concurrence. Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0859,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0859&SessionID=16
1325,HP0860,House,An Act to Create Clarity in the Laws Regarding Property Tax Abatement Appeals,Taxation,Enacted (ch. 342),True,342,Rep. Lucien DAIGLE (Fort Kent),Rep. Roger ALBERT (Madawaska); Rep. Donald ARDELL (Monticello); Rep. Mark BABIN (Fort Fairfield); Rep. Timothy GUERRETTE (Caribou); Sen. Harold STEWART (Aroostook); Rep. Gregory SWALLOW (Houlton),PROPERTY TAX PROCEDURES,7,6,0,1,2025-06-12,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0860,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0860&SessionID=16
1326,HP0861,House,An Act to Protect the Drinking Water for Consumers of Certain Water Systems by Establishing Maximum Contaminant Levels for Certain Perfluoroalkyl and Polyfluoroalkyl Substances,Health and Human Services,Enacted (ch. 425),True,425,Rep. Daniel SHAGOURY (Hallowell),Rep. Daniel ANKELES (Brunswick); Rep. Poppy ARFORD (Brunswick); Sen. Richard BENNETT (Oxford); President Matthea DAUGHTRY (Cumberland); Rep. Paul FLYNN (Albion); Rep. Lori GRAMLICH (Old Orchard Beach); Sen. Craig HICKMAN (Kennebec); Sen. Henry INGWERSEN (York); Rep. William PLUECKER (Warren),PUBLIC SAFETY,10,6,0,1,2025-06-12,"PASSED TO BE ENACTED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0861,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0861&SessionID=16
1327,HP0862,House,"Resolve, Directing the University of Maine System to Study Student Teacher Compensation",Education and Cultural Affairs,Enacted (ch. 88),True,88,Rep. Holly SARGENT (York),Rep. Daniel ANKELES (Brunswick); Rep. Michael BRENNAN (Portland); Rep. W. CROCKETT (Portland); Rep. Janice DODGE (Belfast); Rep. Christina MITCHELL (Cumberland); Rep. Kelly MURPHY (Scarborough); Sen. Joseph RAFFERTY (York); Rep. Amy ROEDER (Bangor); Rep. Sophia WARREN (Scarborough),TEACHERS,10,6,0,1,2025-06-05,"FINALLY PASSED , in concurrence.",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0862,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0862&SessionID=16
1328,HP0863,House,An Act to Create Culturally Appropriate and Trauma-informed Housing and Recovery Services,Housing and Economic Development,"Veto Sustained, Jun 25, 2025",False,,Rep. Laurie OSHER (Orono),Sen. Anne BEEBE-CENTER (Knox); Rep. Cheryl GOLEK (Harpswell); Sen. Craig HICKMAN (Kennebec); Rep. Nina MILLIKEN (Blue Hill); Rep. Matt MOONEN (Portland); Rep. Ambureen RANA (Bangor); Rep. Eleanor SATO (Gorham); Rep. Laura SUPICA (Bangor); Sen. Michael TIPPING (Penobscot),SUBSTANCE USE DISORDER,10,7,3,1,2025-06-25,"This Bill, having been returned by the Governor, together with objections to the same pursuant to Article IV, Part Third, Section 2 of the Constitution of the State of Maine, after reconsideration, the House proceeded to vote on the question: ""Shall this Bill become a law notwithstanding the objections of the Governor?"" ROLL CALL NO. 587 V 40 having voted in the affirmative and 100 in the negative, with 9 being absent and 2 excused, and accordingly it was the vote of the House that the Bill not become a law and the veto was sustained. Placed in the Legislative Files. ( DEAD )",https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0863,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0863&SessionID=16
1329,HP0864,House,An Act to Identify United States Citizenship Status on Driver's Licenses and Nondriver Identification Cards,Transportation,"Accepted Majority (ONTP) Report, May 29, 2025",False,,Rep. Randall GREENWOOD (Wales),Sen. Susan BERNARD (Aroostook); Sen. Bruce BICKFORD (Androscoggin); Rep. Elizabeth CARUSO (Caratunk); Rep. Alicia COLLINS (Sidney); Sen. Scott CYRWAY (Kennebec); Rep. Kimberly HAGGAN (Hampden); Rep. Tracy QUINT (Hodgdon); Rep. Katrina SMITH (Palermo); Rep. James WHITE (Guilford),MOTOR VEHICLES,10,4,2,1,2025-05-29,Reports Read On motion by Senator NANGLE of Cumberland the Majority Ought Not to Pass Report ACCEPTED in concurrence. PREVAILED Roll Call Ordered Roll Call Number 259 Yeas 21 - Nays 13 - Excused 1 - Absent 0 Placed in Legislative Files (DEAD),https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0864,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0864&SessionID=16
1330,HP0865,House,An Act to Clarify That a Business's License or Subscription to Use Software Is Not Considered a Lease for the Purposes of Sales and Use Tax,Taxation,"Died Between Houses, Jun 12, 2025",False,,Rep. John DUCHARME (Madison),Sen. Susan BERNARD (Aroostook); Sen. Bruce BICKFORD (Androscoggin); Rep. W. CROCKETT (Portland); Rep. Billy Bob FAULKINGHAM (Winter Harbor); Rep. Steven FOSTER (Dexter); Rep. Wayne PARRY (Arundel); Rep. Tiffany ROBERTS (South Berwick); Rep. Shelley RUDNICKI (Fairfield); Rep. Russell WHITE (Ellsworth),SALES AND USE TAX,10,7,3,1,2025-06-12,Reports Read On motion by Senator GROHOSKI of Hancock the Majority Ought Not to Pass Report ACCEPTED In NON-CONCURRENCE PREVAILED Roll Call Ordered Roll Call Number 467 Yeas 18 - Nays 17 - Excused 0 - Absent 0 Sent down for concurrence,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0865,https://legislature.maine.gov/LawMakerWeb/summary.asp?paper=HP0865&SessionID=16
