ld,paper,label,adopted,new_title,house_action,senate_action
2071,HP1384,"H ""A"" (H-962 ) to C ""A"" (H-956 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
2072,HP1385,"C ""A"" (H-807 )",True,,Adopted on 2/24/2026,Adopted on 2/26/2026
2074,HP1387,"C ""A"" (H-833 )",True,,Adopted on 3/10/2026,Adopted on 3/12/2026
2075,HP1388,"C ""A"" (H-817 )",True,,Adopted on 3/3/2026,Adopted on 3/5/2026
2076,HP1389,"C ""A"" (H-847 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2077,HP1392,"C ""A"" (H-935 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
2078,HP1393,"C ""A"" (H-816 )",True,An Act to Exempt from Sales Tax the Sale and Delivery of All Residential Electricity,Adopted on 3/3/2026,Adopted on 3/5/2026
2080,HP1395,"C ""A"" (H-861 )",True,An Act to Protect Consumers by Prohibiting the Use of Credit Cards in Sports Wagering and Internet Gaming,Adopted on 3/18/2026,Adopted on 3/19/2026
2081,HP1396,"C ""A"" (H-904 )",True,,Adopted on 3/30/2026,Adopted on 4/2/2026
2082,HP1397,"C ""A"" (H-980 )",True,,Adopted on 4/7/2026,Adopted on 4/7/2026
2083,HP1398,"C ""A"" (H-819 )",True,,Adopted on 3/3/2026,Adopted on 3/5/2026
2085,HP1400,"C ""A"" (H-830 )",True,An Act to Include a Certain Emergency Communications Position at the Department of Public Safety in the 1998 Special Plan,Adopted on 3/10/2026,Adopted on 3/12/2026
2087,HP1402,"C ""A"" (H-832 )",True,,Adopted on 3/10/2026,Adopted on 3/12/2026
2088,HP1403,"C ""A"" (H-860 )",False,,,
2088,HP1403,"H ""A"" (H-885 )",False,,,
2089,HP1404,"C ""A"" (H-877 )",False,,,
2089,HP1404,"H ""A"" (H-905 )",False,,,
2089,HP1404,"S ""A"" (S-642 )",False,,,
2090,HP1405,"C ""A"" (H-941 )",True,An Act to Modify Probationary Periods for Dispatchers,Adopted on 4/2/2026,Adopted on 4/2/2026
2092,HP1407,"C ""A"" (H-1006 )",True,,Adopted on 4/9/2026,Adopted on 4/9/2026
2094,HP1409,"C ""A"" (H-922 )",True,"An Act to Authorize General Fund Bond Issues to Support Maine's Agricultural and Forestry Sectors, Wastewater Treatment Facilities, Public Water and Public Sewer Systems, Housing, Culverts, the University of Maine System, Transportation Infrastructure and Court Facilities",Adopted on 4/7/2026,Adopted on 4/6/2026
2094,HP1409,"S ""A"" (S-602 ) to C ""A"" (H-922 )",True,An Act to Authorize General Fund Bond Issues to Support Maine's Agricultural and Forestry Sectors,Adopted on 4/7/2026,Adopted on 4/6/2026
2094,HP1409,"H ""A"" (H-995 ) to C ""A"" (H-922 )",False,An Act to Authorize General Fund Bond Issues to Support Maine's Agricultural and Forestry Sectors and Transportation Infrastructure,Defeated on 4/7/2026,
2095,HP1410,"C ""A"" (H-846 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2096,HP1411,"C ""A"" (H-823 )",True,,Adopted on 3/5/2026,Adopted on 3/10/2026
2097,HP1412,"C ""A"" (H-974 )",True,,Adopted on 4/6/2026,Adopted on 4/6/2026
2098,HP1413,"C ""A"" (H-853 )",True,An Act to Update Certain Higher Education Statutes and Laws,Adopted on 3/17/2026,Adopted on 3/18/2026
2099,HP1414,"C ""A"" (H-843 )",True,,Adopted on 3/17/2026,Adopted on 3/18/2026
2100,HP1415,"C ""A"" (H-890 )",True,,Adopted on 3/25/2026,Adopted on 3/26/2026
2101,HP1416,"C ""A"" (H-870 )",True,,Adopted on 3/24/2026,Adopted on 3/25/2026
2102,HP1417,"C ""A"" (H-826 )",True,,Adopted on 3/5/2026,Adopted on 3/10/2026
2103,HP1418,"C ""A"" (H-937 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
2104,HP1419,"C ""A"" (H-825 )",True,,Adopted on 3/5/2026,Adopted on 3/10/2026
2105,HP1420,"C ""A"" (H-907 )",True,,Adopted on 3/30/2026,Adopted on 4/2/2026
2106,HP1421,"C ""A"" (H-999 )",True,An Act to Limit Consent for Entry into Nonpublic Areas of and to Limit Access to Protected Records Maintained by Certain Public Entities,Adopted on 4/8/2026,Adopted on 4/8/2026
2107,HP1422,"C ""A"" (H-866 )",True,,Adopted on 3/24/2026,Adopted on 3/25/2026
2107,HP1422,"S ""A"" (S-686 ) to C ""A"" (H-866 )",False,,,
2107,HP1422,"H ""A"" (H-1056 ) to C ""A"" (H-866 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2109,HP1424,"C ""A"" (H-838 )",True,,Adopted on 3/12/2026,Adopted on 3/17/2026
2110,HP1425,"C ""A"" (H-950 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
2111,HP1426,"C ""A"" (H-840 )",True,,Adopted on 3/12/2026,Adopted on 3/17/2026
2112,HP1427,"C ""A"" (H-903 )",True,,Adopted on 3/30/2026,Adopted on 4/2/2026
2114,HP1429,"C ""A"" (H-863 )",True,,Adopted on 3/18/2026,Adopted on 3/19/2026
2115,HP1430,"C ""A"" (H-805 )",True,,Adopted on 2/24/2026,Adopted on 3/5/2026
2116,HP1431,"C ""A"" (H-917 )",True,An Act to Extend the Sunset Date of the Affordable Housing Income Tax Credit,Adopted on 3/30/2026,Adopted on 4/2/2026
2117,HP1432,"C ""A"" (H-989 )",True,"Resolve, Regarding the Process of Filling Vacancies in Certain Group Homes for Individuals with Intellectual Disabilities or Autism Spectrum Disorder",Adopted on 4/7/2026,Adopted on 4/7/2026
2118,HP1433,"C ""A"" (H-972 )",True,,Adopted on 4/6/2026,Adopted on 4/6/2026
2119,HP1434,"C ""A"" (H-908 )",True,"Resolve, to Review Reimbursement for Certain Emergency Medical Services",Adopted on 3/30/2026,Adopted on 4/2/2026
2119,HP1434,"H ""A"" (H-970 ) to C ""A"" (H-908 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
2121,HP1436,"C ""A"" (H-913 )",True,"Resolve, to Convene a Working Group to Study Methods for Enhancing the Safety of Judicial and Elected Officials",Adopted on 3/30/2026,Adopted on 4/2/2026
2121,HP1436,"C ""B"" (H-914 )",False,"Resolve, to Convene a Working Group to Study Methods for Enhancing the Safety of Judicial and Elected Officials",,
2121,HP1436,"S ""A"" (S-687 ) to C ""A"" (H-913 )",False,,,
2121,HP1436,"H ""A"" (H-1057 ) to C ""A"" (H-913 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2122,HP1437,"C ""A"" (H-960 )",True,,Adopted on 4/2/2026,Adopted on 4/6/2026
2123,HP1438,"C ""A"" (H-876 )",True,"Resolve, to Improve Dental Care Access by Modifying the MaineCare Reimbursement Methodology for the Provision of Certain Dental Services",Adopted on 3/24/2026,Adopted on 3/25/2026
2124,HP1439,"C ""A"" (H-887 )",False,,,
2124,HP1439,"C ""B"" (H-888 )",True,,Adopted on 3/25/2026,Adopted on 3/26/2026
2124,HP1439,"S ""A"" (S-688 ) to C ""B"" (H-888 )",False,,,
2124,HP1439,"H ""A"" (H-1058 ) to C ""B"" (H-888 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2125,HP1440,"C ""A"" (H-821 )",True,,Adopted on 3/3/2026,Adopted on 3/5/2026
2127,SP0813,"C ""A"" (S-501 )",True,,Adopted on 3/3/2026,Adopted on 2/24/2026
2128,SP0817,"C ""A"" (S-530 )",True,,Adopted on 3/17/2026,Adopted on 3/10/2026
2129,SP0818,"C ""A"" (S-551 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2130,SP0823,"C ""A"" (S-543 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2131,SP0824,"C ""A"" (S-598 )",True,"Resolve, Regarding the Nursing Facility Reform Transition Fund",Adopted on 4/2/2026,Adopted on 3/31/2026
2132,SP0826,"C ""A"" (S-583 )",True,"An Act to Amend the Maine Emergency Medical Services Act of 1982 to Modify Penalties for Unauthorized Operation or Practice of Emergency Medical Services, to Direct Maine Emergency Medical Services to Evaluate Improvements to Maine's Trauma System Reporting and to Make Certain Technical Changes",Adopted on 3/31/2026,Adopted on 3/30/2026
2133,SP0830,"C ""A"" (S-552 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2134,SP0832,"C ""A"" (S-521 )",True,,Adopted on 3/10/2026,Adopted on 3/3/2026
2135,SP0834,"C ""A"" (S-556 )",True,,Adopted on 3/24/2026,Adopted on 3/18/2026
2136,SP0835,"C ""A"" (S-534 )",True,,Adopted on 3/18/2026,Adopted on 3/10/2026
2136,SP0835,"H ""A"" (H-865 )",True,,Adopted on 3/18/2026,Adopted on 3/19/2026
2137,SP0836,"C ""A"" (S-591 )",True,,Adopted on 3/31/2026,Adopted on 3/30/2026
2137,SP0836,"C ""B"" (S-592 )",False,,,
2137,SP0836,"S ""A"" (S-689 ) to C ""A"" (S-591 )",False,,,
2137,SP0836,"H ""A"" (H-1059 ) to C ""A"" (S-591 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2140,SP0858,"C ""A"" (S-584 )",True,"Resolve, to Establish a Demand Response Program to Lower Electric Bills and Improve Grid Reliability",Adopted on 4/2/2026,Adopted on 3/30/2026
2141,SP0859,"C ""A"" (S-613 )",True,An Act to Further Direct the Use of Unclaimed Beverage Container Deposits and to Make Other Changes to the Beverage Container Redemption Laws,Adopted on 4/13/2026,Adopted on 4/13/2026
2141,SP0859,"S ""A"" (S-660 ) to C ""A"" (S-613 )",True,An Act Regarding Enforcement of the Annual Reporting Requirement of the Laws Governing Unclaimed Beverage Container Deposits,Adopted on 4/13/2026,Adopted on 4/13/2026
2142,SP0860,"C ""A"" (S-517 )",True,,Adopted on 3/5/2026,Adopted on 2/26/2026
2143,SP0861,"H ""A"" (H-895 )",True,,Adopted on 3/25/2026,Adopted on 3/26/2026
2144,SP0862,"C ""A"" (S-531 )",True,,Adopted on 3/17/2026,Adopted on 3/10/2026
2145,SP0863,"C ""A"" (S-546 )",True,,Adopted on 3/19/2026,Adopted on 3/17/2026
2145,SP0863,"C ""B"" (S-547 )",False,,,
2146,SP0864,"C ""A"" (S-611 )",True,,Adopted on 4/2/2026,Adopted on 4/2/2026
2147,SP0865,"C ""A"" (S-500 )",True,,Adopted on 2/26/2026,Adopted on 2/12/2026
2148,SP0866,"C ""A"" (S-619 )",True,,Adopted on 4/7/2026,Adopted on 4/6/2026
2148,SP0866,"C ""B"" (S-620 )",False,,,
2149,SP0867,"C ""A"" (S-636 )",True,,Adopted on 4/8/2026,Adopted on 4/6/2026
2149,SP0867,"S ""A"" (S-645 )",True,,Adopted on 4/8/2026,Adopted on 4/8/2026
2150,SP0871,"C ""A"" (S-641 )",True,"An Act to Establish Procedures for Restricting Access to State Property, Access to State Services and Communication with or Through State Entities and to Provide for a Review of Those Restrictions",Adopted on 4/13/2026,Adopted on 4/9/2026
2150,SP0871,"S ""A"" (S-656 ) to C ""A"" (S-641 )",True,An Act to Enhance Notice to Individuals Whose Access to State Property Has Been Restricted,Adopted on 4/13/2026,Adopted on 4/9/2026
2150,SP0871,"H ""A"" (H-1047 ) to C ""A"" (S-641 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2151,SP0872,"C ""A"" (S-580 )",True,"Resolve, to Improve Access to Affordable Prescription Drugs in Underserved Areas",Adopted on 3/30/2026,Adopted on 3/26/2026
2153,HP1442,"C ""A"" (H-835 )",True,,Adopted on 3/10/2026,Adopted on 3/12/2026
2154,HP1443,"C ""A"" (H-834 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
2154,HP1443,"S ""A"" (S-690 )",True,,Adopted on 4/13/2026,Adopted on 4/13/2026
