ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
2094,HP1409,Senate,844,2026-04-02,SUSPEND RULES (2/3),FAILS,23,12,0,0,0,24,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=Senate&serialnumber=844
2094,HP1409,House,694,2026-03-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,64,12,1,1,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=694
2094,HP1409,House,707,2026-03-31,Enactment - Bond Issue,FAILS,76,70,4,0,1,98,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=707
2094,HP1409,House,751,2026-04-07,ADOPT HAH-995 to CAH-922,FAILS,64,83,3,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=751
2094,HP1409,House,752,2026-04-07,ADOPT SAS-602 to CAH-922,PREVAILS,90,57,3,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=752
2094,HP1409,House,753,2026-04-07,ADOPT CAH-922 am by SAS-602,PREVAILS,91,56,3,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=753
2094,HP1409,House,759,2026-04-08,Enactment - Bond Issue,FAILS,88,53,9,0,1,94,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101154&chamber=House&serialnumber=759
2097,HP1412,Senate,881,2026-04-06,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,10,0,5,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101159&chamber=Senate&serialnumber=881
2098,HP1413,Senate,774,2026-03-18,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,12,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101161&chamber=Senate&serialnumber=774
2098,HP1413,House,654,2026-03-17,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,67,7,1,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101161&chamber=House&serialnumber=654
2099,HP1414,Senate,775,2026-03-18,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,24,8,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101163&chamber=Senate&serialnumber=775
2100,HP1415,Senate,897,2026-04-07,RECEDE AND CONCUR,FAILS,17,14,0,4,0,24,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101123&chamber=Senate&serialnumber=897
2102,HP1417,Senate,746,2026-03-10,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,31,0,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280101127&chamber=Senate&serialnumber=746
