ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
364,SP0156,Senate,841,2026-04-02,ACCEPT REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096073&chamber=Senate&serialnumber=841
365,SP0157,Senate,469,2025-06-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096074&chamber=Senate&serialnumber=469
365,SP0157,House,486,2025-06-13,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,71,5,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096074&chamber=House&serialnumber=486
369,SP0161,Senate,304,2025-06-02,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096078&chamber=Senate&serialnumber=304
371,SP0163,House,369,2025-06-09,"ACC REPORT ""A"" ONTP",PREVAILS,76,69,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096080&chamber=House&serialnumber=369
371,SP0163,House,398,2025-06-10,RECEDE AND CONCUR,FAILS,70,76,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096080&chamber=House&serialnumber=398
372,SP0164,Senate,468,2025-06-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,28,5,1,1,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096081&chamber=Senate&serialnumber=468
372,SP0164,House,464,2025-06-12,ACC MAJ OTP AS AMENDED REP,FAILS,72,75,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096081&chamber=House&serialnumber=464
372,SP0164,House,507,2025-06-16,RECEDE AND CONCUR,FAILS,68,72,9,2,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096081&chamber=House&serialnumber=507
373,SP0165,Senate,83,2025-04-01,ACCEPT MAJORITY OUGHT TO PASS REPORT,FAILS,12,17,0,6,0,15,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096082&chamber=Senate&serialnumber=83
373,SP0165,Senate,84,2025-04-08,RECEDE AND CONCUR,FAILS,11,22,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096082&chamber=Senate&serialnumber=84
373,SP0165,House,66,2025-04-01,ACC MAJ OUGHT TO PASS REP,PREVAILS,91,52,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096082&chamber=House&serialnumber=66
373,SP0165,House,76,2025-04-10,TABLE UNTIL LATER,PREVAILS,86,59,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096082&chamber=House&serialnumber=76
380,SP0145,Senate,495,2025-06-12,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,21,14,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096051&chamber=Senate&serialnumber=495
380,SP0145,House,480,2025-06-13,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,75,72,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096051&chamber=House&serialnumber=480
384,SP0150,Senate,247,2025-05-28,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,28,6,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096056&chamber=Senate&serialnumber=247
384,SP0150,House,228,2025-05-29,ACC MAJ OTP AS AMENDED REP,PREVAILS,81,62,8,0,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096056&chamber=House&serialnumber=228
385,SP0154,House,336,2025-06-05,ACC MAJ OUGHT TO PASS REP,PREVAILS,72,70,7,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096071&chamber=House&serialnumber=336
389,SP0171,Senate,139,2025-05-06,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,18,15,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096088&chamber=Senate&serialnumber=139
389,SP0171,House,117,2025-05-07,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,74,66,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096088&chamber=House&serialnumber=117
395,SP0181,House,814,2026-04-13,Final Passage - Emer,FAILS,91,54,5,0,1,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096200&chamber=House&serialnumber=814
396,SP0182,Senate,334,2025-06-03,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096191&chamber=Senate&serialnumber=334
402,HP0256,Senate,318,2025-06-03,ACCEPT MINORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,14,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096244&chamber=Senate&serialnumber=318
402,HP0256,Senate,356,2025-06-04,RECEDE AND CONCUR,FAILS,14,19,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096244&chamber=Senate&serialnumber=356
402,HP0256,House,254,2025-06-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,74,67,10,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096244&chamber=House&serialnumber=254
402,HP0256,House,304,2025-06-04,RECEDE AND CONCUR,FAILS,39,105,7,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096244&chamber=House&serialnumber=304
405,HP0259,Senate,336,2025-06-03,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096248&chamber=Senate&serialnumber=336
405,HP0259,House,271,2025-06-02,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,63,15,0,0,69,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096248&chamber=House&serialnumber=271
406,HP0260,Senate,320,2025-06-03,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,14,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096250&chamber=Senate&serialnumber=320
406,HP0260,House,261,2025-06-02,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,75,65,11,0,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096250&chamber=House&serialnumber=261
407,HP0261,House,122,2025-05-13,ACC MAJ OTP AS AMENDED REP,PREVAILS,128,14,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096251&chamber=House&serialnumber=122
411,HP0265,Senate,507,2025-06-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,13,21,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096261&chamber=Senate&serialnumber=507
411,HP0265,Senate,508,2025-06-12,INDEFINITELY POSTPONE,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096261&chamber=Senate&serialnumber=508
411,HP0265,House,453,2025-06-12,ACC MAJ OTP AS AMENDED REP,FAILS,68,78,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096261&chamber=House&serialnumber=453
418,HP0272,Senate,367,2025-06-05,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096253&chamber=Senate&serialnumber=367
419,HP0273,Senate,460,2025-06-11,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,PREVAILS,19,14,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096255&chamber=Senate&serialnumber=460
419,HP0273,House,416,2025-06-10,"ACC REPORT ""A"" OTP-AM",PREVAILS,74,68,7,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096255&chamber=House&serialnumber=416
421,HP0275,Senate,157,2025-05-14,ACCEPT MINORITY OUGHT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096264&chamber=Senate&serialnumber=157
421,HP0275,House,143,2025-05-20,RECEDE AND CONCUR,FAILS,65,80,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096264&chamber=House&serialnumber=143
422,HP0276,Senate,165,2025-05-14,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,27,7,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096266&chamber=Senate&serialnumber=165
422,HP0276,House,128,2025-05-13,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,75,65,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096266&chamber=House&serialnumber=128
424,HP0278,Senate,509,2025-06-12,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,18,17,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096268&chamber=Senate&serialnumber=509
424,HP0278,House,454,2025-06-12,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,75,70,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096268&chamber=House&serialnumber=454
427,HP0281,Senate,470,2025-06-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,16,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096272&chamber=Senate&serialnumber=470
427,HP0281,House,414,2025-06-10,ACC MAJ OTP AS AMENDED REP,FAILS,63,83,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096272&chamber=House&serialnumber=414
427,HP0281,House,504,2025-06-13,RECEDE AND CONCUR,PREVAILS,72,70,7,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096272&chamber=House&serialnumber=504
427,HP0281,House,514,2025-06-16,Enactment,FAILS,71,74,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096272&chamber=House&serialnumber=514
427,HP0281,House,534,2025-06-16,RECEDE AND CONCUR,PREVAILS,82,65,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096272&chamber=House&serialnumber=534
428,HP0282,House,466,2025-06-12,RECEDE AND CONCUR,FAILS,72,75,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096273&chamber=House&serialnumber=466
429,HP0283,Senate,178,2025-05-20,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096274&chamber=Senate&serialnumber=178
436,HP0290,Senate,107,2025-04-15,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096277&chamber=Senate&serialnumber=107
436,HP0290,House,81,2025-04-10,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,79,66,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096277&chamber=House&serialnumber=81
437,HP0291,Senate,343,2025-06-04,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096279&chamber=Senate&serialnumber=343
437,HP0291,House,299,2025-06-03,ACC MAJ OTP AS AMENDED REP,PREVAILS,74,73,4,0,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096279&chamber=House&serialnumber=299
439,HP0293,House,244,2025-05-29,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,89,56,6,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096283&chamber=House&serialnumber=244
442,HP0296,Senate,621,2025-06-18,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,28,5,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096286&chamber=Senate&serialnumber=621
444,HP0298,Senate,77,2025-03-27,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,13,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096289&chamber=Senate&serialnumber=77
444,HP0298,House,56,2025-03-25,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,78,65,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096289&chamber=House&serialnumber=56
451,HP0305,Senate,175,2025-05-20,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096294&chamber=Senate&serialnumber=175
451,HP0305,House,139,2025-05-14,Acc Maj Ought Not to Pass Rep,PREVAILS,75,66,9,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096294&chamber=House&serialnumber=139
455,SP0188,Senate,411,2025-06-09,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,16,18,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096308&chamber=Senate&serialnumber=411
455,SP0188,House,403,2025-06-10,ACC MAJ OTP AS AMENDED REP,FAILS,71,76,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096308&chamber=House&serialnumber=403
457,SP0190,Senate,120,2025-04-22,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,12,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096310&chamber=Senate&serialnumber=120
457,SP0190,House,96,2025-04-23,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,64,11,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096310&chamber=House&serialnumber=96
461,SP0194,House,107,2025-05-06,ACC MAJ OTP AS AMENDED REP,PREVAILS,103,37,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096314&chamber=House&serialnumber=107
468,SP0206,House,88,2025-04-15,Enactment,PREVAILS,139,1,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096331&chamber=House&serialnumber=88
470,SP0209,Senate,378,2025-06-05,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096334&chamber=Senate&serialnumber=378
477,HP0306,House,106,2025-04-30,ACC MAJ OTP AS AMENDED REP,PREVAILS,117,26,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096379&chamber=House&serialnumber=106
482,HP0311,Senate,224,2025-05-27,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096392&chamber=Senate&serialnumber=224
482,HP0311,House,178,2025-05-22,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,79,59,13,0,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096392&chamber=House&serialnumber=178
486,HP0315,Senate,185,2025-05-20,ACCEPT MINORITY OUGHT TO PASS REPORT,FAILS,15,17,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096401&chamber=Senate&serialnumber=185
486,HP0315,House,108,2025-05-06,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,72,68,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096401&chamber=House&serialnumber=108
487,HP0316,Senate,244,2025-05-28,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096403&chamber=Senate&serialnumber=244
487,HP0316,Senate,266,2025-05-29,INDEFINITELY POSTPONE,FAILS,13,22,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096403&chamber=Senate&serialnumber=266
487,HP0316,Senate,267,2025-05-29,ACCEPT MINORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,17,18,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096403&chamber=Senate&serialnumber=267
487,HP0316,Senate,268,2025-05-29,INDEFINITELY POSTPONE,PREVAILS,18,17,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096403&chamber=Senate&serialnumber=268
487,HP0316,House,181,2025-05-27,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,93,52,6,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096403&chamber=House&serialnumber=181
488,HP0317,Senate,101,2025-04-10,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096402&chamber=Senate&serialnumber=101
488,HP0317,House,72,2025-04-08,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,78,65,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096402&chamber=House&serialnumber=72
492,HP0321,Senate,179,2025-05-20,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096383&chamber=Senate&serialnumber=179
492,HP0321,House,138,2025-05-14,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,75,67,8,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096383&chamber=House&serialnumber=138
493,HP0322,Senate,256,2025-05-29,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,14,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096384&chamber=Senate&serialnumber=256
493,HP0322,Senate,956,2026-04-14,ENACTMENT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096384&chamber=Senate&serialnumber=956
493,HP0322,House,216,2025-05-28,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,69,4,0,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096384&chamber=House&serialnumber=216
495,HP0324,Senate,102,2025-04-10,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096387&chamber=Senate&serialnumber=102
495,HP0324,House,73,2025-04-08,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,76,68,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096387&chamber=House&serialnumber=73
497,HP0326,Senate,440,2025-06-10,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096391&chamber=Senate&serialnumber=440
497,HP0326,House,405,2025-06-10,ACC MAJ OTP AS AMENDED REP,PREVAILS,77,70,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096391&chamber=House&serialnumber=405
499,HP0328,House,101,2025-04-29,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,88,57,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096393&chamber=House&serialnumber=101
500,HP0329,Senate,257,2025-05-29,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,13,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096395&chamber=Senate&serialnumber=257
500,HP0329,House,217,2025-05-28,ACC MAJ OTP AS AMENDED REP,PREVAILS,79,66,6,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096395&chamber=House&serialnumber=217
508,SP0226,Senate,412,2025-06-09,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096409&chamber=Senate&serialnumber=412
508,SP0226,House,431,2025-06-11,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,70,6,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096409&chamber=House&serialnumber=431
508,SP0226,House,432,2025-06-11,IPP HAH-640,FAILS,66,77,6,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096409&chamber=House&serialnumber=432
508,SP0226,House,433,2025-06-11,ADOPT HAH-640,PREVAILS,76,65,8,2,0,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096409&chamber=House&serialnumber=433
512,SP0230,Senate,136,2025-05-06,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,22,11,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096414&chamber=Senate&serialnumber=136
512,SP0230,House,115,2025-05-07,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,106,32,12,0,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096414&chamber=House&serialnumber=115
513,SP0232,Senate,137,2025-05-06,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,18,15,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096416&chamber=Senate&serialnumber=137
515,HP0333,Senate,590,2025-06-16,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096434&chamber=Senate&serialnumber=590
515,HP0333,House,531,2025-06-16,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,77,71,1,2,0,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096434&chamber=House&serialnumber=531
517,HP0335,Senate,759,2026-03-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,14,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096436&chamber=Senate&serialnumber=759
517,HP0335,House,641,2026-03-10,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,65,11,1,1,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096436&chamber=House&serialnumber=641
522,HP0341,Senate,113,2025-04-17,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,22,12,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096445&chamber=Senate&serialnumber=113
522,HP0341,House,87,2025-04-15,ACC MAJ OTP AS AMENDED REP,PREVAILS,82,63,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096445&chamber=House&serialnumber=87
524,HP0343,Senate,710,2026-02-10,ACCEPTANCE OF REPORT,PREVAILS,32,0,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096447&chamber=Senate&serialnumber=710
524,HP0343,House,619,2026-02-24,Enactment - Emer,PREVAILS,128,0,20,1,2,101,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096447&chamber=House&serialnumber=619
525,HP0344,Senate,234,2025-05-28,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096449&chamber=Senate&serialnumber=234
525,HP0344,House,189,2025-05-27,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,70,69,12,0,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096449&chamber=House&serialnumber=189
525,HP0344,House,505,2025-06-16,RECEDE AND CONCUR,FAILS,69,70,10,2,0,70,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096449&chamber=House&serialnumber=505
530,HP0349,Senate,199,2025-05-21,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,17,15,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096459&chamber=Senate&serialnumber=199
530,HP0349,House,149,2025-05-20,ACC MIN OUGHT NOT TO PASS REP,FAILS,38,106,6,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096459&chamber=House&serialnumber=149
532,HP0351,Senate,619,2025-06-17,INDEFINITELY POSTPONE,PREVAILS,25,10,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096462&chamber=Senate&serialnumber=619
532,HP0351,Senate,632,2025-06-18,RECEDE AND CONCUR,FAILS,15,19,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096462&chamber=Senate&serialnumber=632
532,HP0351,House,566,2025-06-17,ACC MAJ OTP AS AMENDED REP,FAILS,63,84,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096462&chamber=House&serialnumber=566
532,HP0351,House,567,2025-06-17,ACC MIN OTP AS AMENDED REP,PREVAILS,100,46,3,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096462&chamber=House&serialnumber=567
535,HP0354,House,103,2025-04-30,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,111,29,10,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096448&chamber=House&serialnumber=103
536,HP0355,House,317,2025-06-04,ACC MAJ OTP AS AMENDED REP,PREVAILS,79,66,6,0,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096450&chamber=House&serialnumber=317
537,HP0356,Senate,441,2025-06-10,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,18,14,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096452&chamber=Senate&serialnumber=441
537,HP0356,House,406,2025-06-10,ACC MAJ OTP AS AMENDED REP,PREVAILS,78,69,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096452&chamber=House&serialnumber=406
538,HP0357,Senate,198,2025-05-21,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096453&chamber=Senate&serialnumber=198
538,HP0357,House,148,2025-05-20,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,71,4,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096453&chamber=House&serialnumber=148
542,HP0361,Senate,190,2025-05-20,ACCEPT REPORT 'A' OUGHT TO PASS AS AMENDED,FAILS,14,18,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096463&chamber=Senate&serialnumber=190
542,HP0361,House,130,2025-05-13,ACC REPORT 'B' ONTP,PREVAILS,79,62,9,0,1,71,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096463&chamber=House&serialnumber=130
544,HP0363,Senate,338,2025-06-03,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,17,15,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280096466&chamber=Senate&serialnumber=338
